bid_id,ad_id,buyer_id,bid_price,bid_date,bid_status
1,186,2,350800000,2023-12-28 19:20:22,Sent
2,196,28,113337322,2023-12-25 23:20:26,Sent
3,186,12,350800000,2023-09-10 14:30:52,Sent
4,152,40,108600223,2023-01-07 01:29:52,Succeed
5,83,22,85389233,2023-10-11 23:20:22,Sent
6,182,54,226994639,2023-12-17 02:05:27,Sent
7,111,42,364800000,2023-12-17 22:41:19,Sent
8,197,90,285000000,2023-12-04 22:34:25,Sent
9,65,87,275900000,2023-07-31 23:55:13,Succeed
10,18,36,203497431,2023-11-29 16:58:15,Succeed
11,48,65,109200000,2023-08-18 06:17:04,Sent
12,53,69,206458847,2023-11-10 17:06:26,Sent
13,162,88,397700000,2023-07-02 00:45:43,Succeed
14,82,89,302900000,2022-11-25 13:11:24,Sent
15,1,63,89379114,2023-08-27 18:20:21,Succeed
16,93,87,189039945,2023-12-30 15:32:25,Succeed
17,12,41,176051316,2023-11-29 02:25:21,Succeed
18,187,33,278376178,2023-09-30 15:29:02,Sent
19,89,84,121851670,2023-11-29 19:48:04,Sent
20,75,13,80454254,2023-11-22 15:11:11,Succeed
21,82,12,302900000,2022-11-21 17:32:49,Sent
22,25,63,160406074,2023-01-20 05:53:19,Succeed
23,174,6,94100000,2023-12-18 12:06:02,Succeed
24,27,75,204316245,2023-11-28 09:33:13,Succeed
25,72,75,178241506,2023-12-27 19:46:20,Succeed
26,167,86,178339881,2023-02-28 15:42:30,Sent
27,27,5,96513148,2023-09-06 16:09:06,Rejected
28,8,97,131900000,2023-01-18 01:51:22,Succeed
29,110,27,232800000,2023-08-04 19:51:00,Sent
30,140,26,262800000,2023-08-31 16:27:04,Succeed
31,157,35,301000000,2023-09-12 21:48:07,Sent
32,53,60,157794992,2023-12-19 09:21:07,Sent
33,55,38,160519077,2023-10-02 05:51:31,Sent
34,38,3,272729630,2023-11-27 19:56:26,Sent
35,106,51,176000000,2022-02-04 07:28:27,Succeed
36,11,53,98100000,2023-12-31 11:14:16,Sent
37,95,64,95600000,2023-12-19 11:24:04,Sent
38,129,29,231500000,2023-06-25 09:54:28,Succeed
39,183,15,398400000,2023-11-02 19:48:38,Sent
40,160,73,177246187,2023-12-31 02:38:29,Sent
41,176,47,183200000,2022-07-20 13:49:41,Sent
42,45,30,272900000,2023-12-27 14:25:34,Succeed
43,2,47,101144289,2023-05-17 14:51:00,Succeed
44,145,37,87397227,2023-05-06 16:12:34,Succeed
45,116,60,331100000,2023-12-26 19:25:21,Succeed
46,83,67,152100931,2023-10-28 01:17:02,Sent
47,1,5,199952709,2023-06-25 09:26:42,Rejected
48,128,24,211682033,2023-12-18 15:08:16,Sent
49,90,72,205842516,2023-07-26 07:54:30,Succeed
50,152,83,274435043,2023-02-02 18:59:23,Rejected
51,158,68,114700000,2023-05-07 01:43:03,Sent
52,95,67,95600000,2023-12-17 02:44:40,Sent
53,11,81,98100000,2023-12-27 07:42:58,Sent
54,5,40,161400000,2023-12-25 08:43:25,Succeed
55,85,76,251600000,2023-12-28 21:12:34,Sent
56,44,33,215300000,2023-05-22 14:16:02,Succeed
57,43,97,397200000,2023-09-15 19:51:18,Sent
58,158,31,114700000,2023-03-29 10:27:36,Sent
59,71,35,325300000,2023-11-12 19:38:44,Succeed
60,7,81,354900000,2023-09-05 15:33:14,Sent
61,125,8,237300000,2023-12-31 16:51:54,Sent
62,96,7,281400000,2023-07-01 09:52:58,Sent
63,6,57,112300000,2023-12-18 06:34:00,Succeed
64,16,17,210404387,2023-12-06 16:18:21,Sent
65,88,7,86030494,2023-12-07 17:12:55,Sent
66,10,61,84280122,2023-04-12 04:33:06,Sent
67,196,90,165569147,2023-12-21 04:29:09,Sent
68,145,69,88405871,2022-09-05 22:39:02,Rejected
69,34,4,103844156,2023-12-21 10:03:15,Succeed
70,110,91,232800000,2023-07-28 22:34:00,Sent
71,34,7,118834451,2023-12-23 00:30:30,Rejected
72,18,75,153454444,2023-12-29 09:59:20,Rejected
73,110,44,232800000,2023-12-11 05:32:44,Sent
74,166,95,97800000,2023-12-31 17:04:27,Sent
75,129,27,231500000,2023-01-24 20:29:14,Rejected
76,18,11,110453536,2023-11-27 16:13:16,Rejected
77,49,90,169500000,2023-11-28 04:49:51,Sent
78,153,19,232306539,2023-07-19 02:32:20,Succeed
79,53,31,261359746,2023-11-10 02:11:53,Sent
80,64,12,162800000,2023-04-16 23:42:13,Sent
81,129,47,231500000,2023-06-30 02:20:50,Rejected
82,57,84,244300000,2023-11-19 20:28:13,Sent
83,173,90,336195829,2023-12-07 12:27:07,Succeed
84,55,55,321899328,2023-09-03 12:12:59,Sent
85,62,72,234288244,2023-12-25 11:09:40,Succeed
86,64,89,162800000,2023-02-18 21:16:47,Sent
87,7,15,354900000,2023-10-25 23:41:44,Sent
88,95,92,95600000,2023-11-15 15:17:19,Sent
89,166,10,97800000,2023-09-04 06:03:13,Sent
90,118,77,202783416,2023-11-28 02:36:35,Succeed
91,125,35,237300000,2023-12-30 19:22:04,Sent
92,71,52,325300000,2023-10-04 21:19:44,Rejected
93,88,41,138324675,2023-07-13 06:18:09,Sent
94,151,92,131800000,2023-12-31 07:41:02,Succeed
95,111,59,364800000,2023-12-13 19:12:28,Sent
96,48,39,109200000,2023-11-07 13:25:24,Sent
97,49,33,169500000,2023-08-08 21:05:48,Sent
98,107,40,119229361,2023-11-21 14:43:30,Sent
99,198,7,291960264,2023-12-08 19:00:10,Succeed
100,73,53,190163344,2023-09-03 09:51:11,Sent
101,30,63,151240925,2023-06-06 02:06:48,Sent
102,178,51,83150907,2023-05-31 22:42:43,Succeed
103,102,87,102769758,2023-06-09 19:54:52,Succeed
104,184,32,291600000,2023-12-25 23:41:13,Succeed
105,189,74,111886311,2023-12-31 14:30:23,Sent
106,84,2,155100000,2023-11-25 21:25:21,Succeed
107,96,63,281400000,2023-06-05 04:33:08,Sent
108,29,37,80009134,2023-12-23 11:55:08,Sent
109,143,19,297800000,2023-12-31 14:11:49,Sent
110,164,10,89110638,2023-12-13 06:20:08,Sent
111,152,36,132084477,2022-02-05 08:31:52,Rejected
112,192,81,349300000,2023-12-01 06:00:24,Succeed
113,83,30,109340612,2023-12-19 21:59:43,Sent
114,42,9,210300000,2023-08-06 23:16:58,Sent
115,76,60,284900000,2023-12-17 03:00:14,Sent
116,98,88,139200000,2023-12-29 19:39:03,Sent
117,7,23,354900000,2023-08-14 03:17:23,Sent
